"","follower_count","following_count","account_language","tweet_client_name","is_retweet","reply_count","like_count","retweet_count","numcaracter","account_creation_year","account_creation_month","tweet_hour"
"9391",8685,1451,1,4,2,0,0,0,95,2015,1,3
"9392",84,129,1,7,2,0,0,0,146,2015,3,16
"9393",3051,271,1,2,2,0,0,0,146,2017,12,3
"9394",1538,93,1,1,2,0,0,0,124,2013,6,2
"9395",8685,1451,1,4,2,0,0,0,82,2015,1,4
"9396",8685,1451,1,4,2,0,0,0,142,2015,1,3
"9397",122,111,1,7,2,0,0,0,73,2014,5,23
"9398",8685,1451,1,4,2,0,0,0,150,2015,1,21
"9399",8685,1451,1,4,2,0,0,0,90,2015,1,9
"9400",8685,1451,1,4,2,0,0,0,66,2015,1,0
"9401",8685,1451,1,4,2,0,0,0,142,2015,1,1
"9402",7566,4526,1,4,2,0,0,0,151,2017,3,21
"9403",3051,271,1,2,2,0,0,0,141,2017,12,16
"9404",8685,1451,1,4,2,0,0,0,72,2015,1,21
"9405",4989,4418,1,4,2,0,0,0,154,2015,8,17
"9406",8685,1451,1,4,2,0,0,0,114,2015,1,17
"9407",4989,4418,1,4,2,0,0,0,92,2015,8,21
"9408",3051,271,1,2,2,0,0,0,142,2017,12,1
"9409",3051,271,1,2,1,0,4,3,313,2017,12,0
"9410",7566,4526,1,4,2,0,0,0,146,2017,3,21
"9411",125,202,1,1,1,0,0,0,46,2014,5,23
"9412",7566,4526,1,4,2,0,0,0,142,2017,3,7
"9413",8685,1451,1,4,1,0,0,1,184,2015,1,18
"9414",7566,4526,1,4,2,0,0,0,101,2017,3,19
"9415",8685,1451,1,4,2,0,0,0,142,2015,1,21
"9416",4989,4418,1,4,2,0,0,0,85,2015,8,1
"9417",8685,1451,1,4,2,0,0,0,130,2015,1,0
"9418",4989,4418,1,4,2,0,0,0,91,2015,8,5
"9419",1538,93,1,11,2,0,0,0,142,2013,6,1
"9420",7566,4526,1,4,2,0,0,0,196,2017,3,22
"9421",8685,1451,1,4,2,0,0,0,144,2015,1,23
"9422",8685,1451,1,4,2,0,0,0,133,2015,1,1
"9423",8685,1451,1,4,2,0,0,0,106,2015,1,14
"9424",8685,1451,1,4,2,0,0,0,137,2015,1,21
"9425",8685,1451,1,4,2,0,0,0,77,2015,1,2
"9426",3051,271,1,2,2,0,0,0,116,2017,12,4
"9427",63,142,1,1,1,0,0,0,55,2015,3,23
"9428",118,139,1,1,1,0,0,0,62,2014,5,21
"9429",4989,4418,1,4,2,0,0,0,114,2015,8,2
"9430",8685,1451,1,4,2,0,0,0,144,2015,1,12
"9431",8685,1451,1,4,1,0,6,7,134,2015,1,14
"9432",3739,4633,1,4,2,0,0,0,142,2017,4,9
"9433",4989,4418,1,4,2,0,0,0,233,2015,8,7
"9434",8685,1451,1,4,2,0,0,0,127,2015,1,9
"9435",8685,1451,1,4,2,0,0,0,144,2015,1,0
"9436",3051,271,1,2,1,0,0,0,69,2017,12,16
"9437",69,106,1,1,1,0,0,0,61,2015,3,22
"9438",8685,1451,1,4,2,0,0,0,142,2015,1,17
"9439",77,208,1,1,2,0,0,0,142,2015,3,3
"9440",3051,271,1,2,2,0,0,0,142,2017,12,7
"9441",1538,93,1,1,2,0,0,0,142,2013,6,5
"9442",3051,271,1,1,2,0,0,0,98,2017,12,7
"9443",90,202,1,1,2,0,0,0,112,2015,3,2
"9444",7566,4526,1,4,2,0,0,0,141,2017,3,12
"9445",3051,271,1,2,2,0,0,0,142,2017,12,5
"9446",8685,1451,1,4,2,0,0,0,142,2015,1,7
"9447",8685,1451,1,4,2,0,0,0,146,2015,1,17
"9448",8685,1451,1,4,2,0,0,0,118,2015,1,8
"9449",1538,93,1,9,2,0,0,0,142,2013,6,19
"9450",8685,1451,1,4,2,0,0,0,142,2015,1,23
"9451",7566,4526,1,4,2,0,0,0,172,2017,3,23
"9452",3051,271,1,2,2,0,0,0,148,2017,12,16
"9453",105,141,1,1,1,0,0,0,71,2014,5,21
"9454",8685,1451,1,4,2,0,0,0,142,2015,1,4
"9455",8685,1451,1,4,2,0,0,0,105,2015,1,0
"9456",8685,1451,1,4,2,0,0,0,94,2015,1,3
"9457",3051,271,1,2,1,0,0,0,304,2017,12,2
"9458",8685,1451,1,4,2,0,0,0,142,2015,1,4
"9459",122,127,1,1,2,0,0,0,142,2014,5,1
"9460",8685,1451,1,4,1,0,3,5,133,2015,1,11
"9461",68,106,1,1,1,0,0,0,61,2015,3,21
"9462",8685,1451,1,4,2,0,0,0,142,2015,1,10
"9463",8685,1451,1,4,2,0,0,0,142,2015,1,4
"9464",8685,1451,1,4,2,0,0,0,142,2015,1,22
"9465",3051,271,1,2,2,0,0,0,150,2017,12,16
"9466",8685,1451,1,4,2,0,0,0,94,2015,1,5
"9467",8685,1451,1,4,2,0,0,0,142,2015,1,10
"9468",8685,1451,1,4,2,0,0,0,139,2015,1,22
"9469",99,122,1,1,1,0,0,0,65,2013,9,16
"9470",7566,4526,1,4,2,0,0,0,111,2017,3,17
"9471",7566,4526,1,4,2,0,0,0,160,2017,3,3
"9472",3051,271,1,2,1,0,0,0,131,2017,12,23
"9473",3051,271,1,2,2,0,0,0,141,2017,12,17
"9474",3051,271,1,2,1,0,0,0,51,2017,12,8
"9475",8685,1451,1,4,2,0,0,0,144,2015,1,2
"9476",8685,1451,1,4,2,0,0,0,142,2015,1,21
"9477",3051,271,1,2,2,0,0,0,143,2017,12,20
"9478",3051,271,1,6,2,0,0,0,142,2017,12,19
"9479",88,128,1,13,2,0,0,0,105,2015,3,18
"9480",8685,1451,1,4,2,0,0,0,62,2015,1,2
"9481",4989,4418,1,4,2,0,0,0,60,2015,8,9
"9482",8685,1451,1,4,2,0,0,0,133,2015,1,8
"9483",8685,1451,1,4,2,0,0,0,142,2015,1,22
"9484",8685,1451,1,4,2,0,0,0,142,2015,1,9
"9485",3051,271,1,2,1,0,0,0,304,2017,12,0
"9486",8685,1451,1,4,1,0,1,0,22,2015,1,23
"9487",3051,271,1,1,2,0,0,0,146,2017,12,6
"9488",3051,271,1,1,2,0,0,0,142,2017,12,1
"9489",17,121,1,1,1,0,0,0,73,2014,6,17
"9490",3051,271,1,2,2,0,0,0,156,2017,12,21
"9491",123,170,1,1,1,0,0,0,110,2013,8,13
"9492",8685,1451,1,4,1,0,0,0,22,2015,1,12
"9493",7566,4526,1,4,2,0,0,0,92,2017,3,7
"9494",7566,4526,1,4,2,0,0,0,157,2017,3,21
"9495",8685,1451,1,4,2,0,0,0,67,2015,1,22
"9496",8685,1451,1,4,2,0,0,0,146,2015,1,6
"9497",7566,4526,1,4,2,0,0,0,140,2017,3,13
"9498",4989,4418,1,4,2,0,0,0,135,2015,8,4
"9499",3051,271,1,2,1,0,0,0,35,2017,12,2
"9500",4989,4418,1,4,2,0,0,0,150,2015,8,22
"9501",3051,271,1,1,2,0,0,0,142,2017,12,6
"9502",4989,4418,1,4,2,0,0,0,141,2015,8,16
"9503",7566,4526,1,4,2,0,0,0,127,2017,3,20
"9504",8685,1451,1,4,2,0,0,0,130,2015,1,4
"9505",8685,1451,1,4,2,0,0,0,119,2015,1,16
"9506",8685,1451,1,4,2,0,0,0,154,2015,1,7
"9507",7566,4526,1,4,2,0,0,0,142,2017,3,6
"9508",7566,4526,1,4,2,0,0,0,148,2017,3,10
"9509",1538,93,1,11,2,0,0,0,146,2013,6,4
"9510",4989,4418,1,4,2,0,0,0,52,2015,8,2
"9511",8685,1451,1,4,2,0,0,0,142,2015,1,6
"9512",3051,271,1,2,2,0,0,0,144,2017,12,20
"9513",3051,271,1,1,1,0,0,0,102,2017,12,18
"9514",3051,271,1,2,1,0,0,0,359,2017,12,18
"9515",8685,1451,1,4,2,0,0,0,142,2015,1,11
"9516",4989,4418,1,4,2,0,0,0,112,2015,8,5
"9517",8685,1451,1,4,2,0,0,0,45,2015,1,11
"9518",7566,4526,1,4,2,0,0,0,142,2017,3,19
"9519",8685,1451,1,4,2,0,0,0,118,2015,1,19
"9520",1538,93,1,1,1,0,0,0,79,2013,6,22
"9521",119,160,1,1,1,0,0,0,44,2014,5,21
"9522",8685,1451,1,4,2,0,0,0,46,2015,1,2
"9523",8685,1451,1,4,2,0,0,0,142,2015,1,7
"9524",3020,2518,1,4,2,0,0,0,43,2017,6,17
"9525",7566,4526,1,4,2,0,0,0,186,2017,3,0
"9526",8685,1451,1,4,2,0,0,0,142,2015,1,17
"9527",7566,4526,1,4,2,0,0,0,158,2017,3,4
"9528",59,164,1,1,1,0,0,0,79,2015,3,4
"9529",3051,271,1,2,2,0,0,0,142,2017,12,1
